Rate	83.33
Tree Move	16.67
Rate Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
816	0.290441	184	0.429348	1.997076	816	0.290441	0.316000	0.299959	
823	0.246659	177	0.350282	1.997076	823	0.246659	0.265000	0.299819	
831	0.298436	169	0.556213	1.997076	831	0.298436	0.342000	0.299987	
833	0.268908	167	0.467066	1.997076	833	0.268908	0.302000	0.299995	
860	0.272093	140	0.471429	1.997076	860	0.272093	0.300000	0.299995	
844	0.250000	156	0.487179	1.997076	844	0.250000	0.287000	0.299944	
824	0.257282	176	0.494318	1.997076	824	0.257282	0.299000	0.299940	
799	0.259074	201	0.562189	1.997076	799	0.259074	0.320000	0.300018	
825	0.263030	175	0.548571	1.997076	825	0.263030	0.313000	0.300069	
828	0.307971	172	0.401163	1.997076	828	0.307971	0.324000	0.300162	
810	0.288889	190	0.557895	1.997076	810	0.288889	0.340000	0.300315	
825	0.264242	175	0.542857	1.997076	825	0.264242	0.313000	0.300364	
829	0.275030	171	0.514620	1.997076	829	0.275030	0.316000	0.300424	
829	0.260555	171	0.444444	1.997076	829	0.260555	0.292000	0.300392	
837	0.252091	163	0.453988	1.997076	837	0.252091	0.285000	0.300333	
823	0.260024	177	0.418079	1.997076	823	0.260024	0.288000	0.300287	
807	0.262701	193	0.528497	1.997076	807	0.262701	0.314000	0.300338	
841	0.271106	159	0.540881	1.997076	841	0.271106	0.314000	0.300390	
812	0.275862	188	0.574468	1.997076	812	0.275862	0.332000	0.300508	
823	0.292831	177	0.536723	1.997076	823	0.292831	0.336000	0.300641	
837	0.246117	163	0.398773	1.997076	837	0.246117	0.271000	0.300530	
824	0.245146	176	0.426136	1.997076	824	0.245146	0.277000	0.300443	
814	0.233415	186	0.500000	1.997076	814	0.233415	0.283000	0.300379	
847	0.226682	153	0.490196	1.997076	847	0.226682	0.267000	0.300256	
844	0.253555	156	0.429487	1.997076	844	0.253555	0.281000	0.300186	
820	0.274390	180	0.455556	1.997076	820	0.274390	0.307000	0.300211	
820	0.262195	180	0.605556	1.997076	820	0.262195	0.324000	0.300297	
841	0.237812	159	0.522013	1.997076	841	0.237812	0.283000	0.300234	
858	0.256410	142	0.394366	1.997076	858	0.256410	0.276000	0.300147	
831	0.265945	169	0.384615	1.997076	831	0.265945	0.286000	0.300096	
836	0.261962	164	0.481707	1.997076	836	0.261962	0.298000	0.300089	
815	0.276074	185	0.356757	1.997076	815	0.276074	0.291000	0.300056	
807	0.262701	193	0.512953	1.997076	807	0.262701	0.311000	0.300095	
829	0.271411	171	0.456140	1.997076	829	0.271411	0.303000	0.300105	
831	0.245487	169	0.437870	1.997076	831	0.245487	0.278000	0.300027	
830	0.260241	170	0.547059	1.997076	830	0.260241	0.309000	0.300059	
837	0.249701	163	0.392638	1.997076	837	0.249701	0.273000	0.299964	
806	0.270471	194	0.479381	1.997076	806	0.270471	0.311000	0.300002	
815	0.247853	185	0.529730	1.997076	815	0.247853	0.300000	0.300002	
839	0.276520	161	0.496894	1.997076	839	0.276520	0.312000	0.300044	
811	0.249075	189	0.423280	1.997076	811	0.249075	0.282000	0.299982	
811	0.268804	189	0.481481	1.997076	811	0.268804	0.309000	0.300013	
838	0.278043	162	0.543210	1.997076	838	0.278043	0.321000	0.300085	
829	0.267793	171	0.438596	1.997076	829	0.267793	0.297000	0.300074	
823	0.273390	177	0.531073	1.997076	823	0.273390	0.319000	0.300139	
815	0.256442	185	0.551351	1.997076	815	0.256442	0.311000	0.300176	
820	0.221951	180	0.516667	1.997076	820	0.221951	0.275000	0.300091	
823	0.270960	177	0.531073	1.997076	823	0.270960	0.317000	0.300148	
826	0.286925	174	0.522989	1.997076	826	0.286925	0.328000	0.300241	
833	0.236495	167	0.455090	1.997076	833	0.236495	0.273000	0.300150	
816	0.253676	184	0.532609	1.997076	816	0.253676	0.305000	0.300166	
807	0.261462	193	0.518135	1.997076	807	0.261462	0.311000	0.300202	
826	0.262712	174	0.488506	1.997076	826	0.262712	0.302000	0.300208	
807	0.276332	193	0.523316	1.997076	807	0.276332	0.324000	0.300287	
844	0.257109	156	0.467949	1.997076	844	0.257109	0.290000	0.300253	
832	0.266827	168	0.553571	1.997076	832	0.266827	0.315000	0.300302	
807	0.292441	193	0.455959	1.997076	807	0.292441	0.324000	0.300379	
817	0.274174	183	0.480874	1.997076	817	0.274174	0.312000	0.300417	
840	0.235714	160	0.562500	1.997076	840	0.235714	0.288000	0.300377	
819	0.258852	181	0.508287	1.997076	819	0.258852	0.304000	0.300389	
821	0.214373	179	0.474860	1.997076	821	0.214373	0.261000	0.300261	
821	0.276492	179	0.519553	1.997076	821	0.276492	0.320000	0.300325	
821	0.291108	179	0.575419	1.997076	821	0.291108	0.342000	0.300459	
843	0.287070	157	0.484076	1.997076	843	0.287070	0.318000	0.300515	
821	0.249695	179	0.474860	1.997076	821	0.249695	0.290000	0.300481	
814	0.250614	186	0.510753	1.997076	814	0.250614	0.299000	0.300477	
814	0.315725	186	0.602151	1.997076	814	0.315725	0.369000	0.300694	
812	0.280788	188	0.526596	1.997076	812	0.280788	0.327000	0.300778	
825	0.265455	175	0.422857	1.997076	825	0.265455	0.293000	0.300753	
842	0.277910	158	0.468354	1.997076	842	0.277910	0.308000	0.300776	
829	0.273824	171	0.538012	1.997076	829	0.273824	0.319000	0.300833	
824	0.256068	176	0.460227	1.997076	824	0.256068	0.292000	0.300805	
848	0.258255	152	0.473684	1.997076	848	0.258255	0.291000	0.300775	
831	0.258724	169	0.550296	1.997076	831	0.258724	0.308000	0.300797	
821	0.266748	179	0.497207	1.997076	821	0.266748	0.308000	0.300820	
820	0.264634	180	0.411111	1.997076	820	0.264634	0.291000	0.300789	
822	0.271290	178	0.505618	1.997076	822	0.271290	0.313000	0.300827	
811	0.270037	189	0.449735	1.997076	811	0.270037	0.304000	0.300837	
